problem;BrasilCO40n
useTBAS;0
run;seed;cost;time_ms
0;9176377229071207081;578;11524.113917
0,24,13,39,17,26,7,30,14,15,9,12,25,1,20,34,28,38,19,10,27,11,33,31,18,37,32,6,3,5,2,35,16,29,8,22,21,23,36,4
3,3,3,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
1;76241568449944305;587;12119.560375
0,15,14,30,7,26,17,36,23,21,22,5,4,2,35,16,29,8,37,32,3,6,31,38,28,34,1,19,25,10,33,11,27,20,9,12,13,39,18,24
4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3
2;11569656429252920891;586;12320.021917
0,24,13,39,30,14,15,7,26,17,9,25,19,33,10,27,11,20,12,1,34,28,38,21,32,37,18,31,6,3,36,23,5,2,4,29,16,35,8,22
3,3,3,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
3;8006770736520076435;588;12028.566792
0,4,2,5,36,23,21,22,8,35,16,29,39,17,26,7,30,14,15,6,3,37,32,18,31,38,19,27,11,20,34,28,10,33,9,25,1,12,13,24
2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
4;10222608011239175760;578;12799.258708
0,15,7,26,17,30,14,2,4,36,23,21,22,8,29,16,35,5,3,6,37,32,18,31,33,11,27,10,28,34,20,9,25,1,19,38,12,39,13,24
4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3
5;83674907983555125;577;13714.075958
0,24,13,39,17,26,7,30,14,15,9,25,12,20,1,34,11,33,19,27,10,28,38,31,18,32,37,3,6,2,5,35,16,29,8,22,21,23,36,4
3,3,3,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
6;16633518659454552880;583;11240.567208
0,24,13,39,17,26,7,14,15,6,30,19,38,28,34,11,25,9,12,1,20,33,10,27,37,32,18,31,3,36,23,21,22,8,35,16,29,5,2,4
3,3,3,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
7;3348662810425028053;580;11651.424
0,15,14,7,26,17,30,19,38,28,10,34,1,25,11,27,20,33,8,12,9,22,21,36,23,35,16,29,4,2,5,3,6,31,18,32,37,39,13,24
4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,3,3,3
8;1625020296661546126;580;12436.714083
0,4,2,5,35,16,29,8,22,21,23,36,3,6,37,32,18,31,38,19,27,11,25,1,34,28,10,33,9,20,12,24,13,39,17,30,14,26,7,15
2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,4,4,4,4
9;8722260422266777814;585;12261.906708
0,15,14,30,7,26,17,39,6,3,37,32,18,31,8,29,16,35,5,2,4,36,23,21,22,9,33,11,27,20,34,1,12,25,10,28,38,19,24,13
4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
10;18422523289718600251;583;12760.273
0,4,2,5,36,23,35,16,29,8,22,21,3,6,37,32,31,33,11,27,20,34,1,12,9,25,10,28,38,19,30,17,14,15,7,26,18,39,13,24
2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,3,3,3,3
11;12120595211417451604;583;12498.378708
0,15,7,26,17,14,30,18,24,13,39,27,20,11,25,10,28,34,1,12,9,33,19,38,31,32,37,6,3,36,23,21,22,8,29,16,35,2,5,4
